MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	LIBRARY	SAMPLE_NAME	TARGET_REGION
28	28	1	23	30	26.627907	2.246937	43	FR	1	1	1	3	3	5	7	9	11	11	11	NA	18-225-01427-GER2110524	J04353.1:107-557
33	33	2	21	36	29.642857	5.300321	14	FR	1	1	1	1	5	7	19	21	21	25	25	NA	18-225-01427-GER2110524	J04353.1:5551-7066
25	25	0	22	28	24.608696	0.838783	27	FR	1	1	1	1	1	1	3	3	5	7	7	NA	18-225-01427-GER2110524	J04353.1:559-856
32	31	1	26	37	31.904762	2.300104	21	FR	1	3	3	3	3	3	3	5	9	11	13	NA	18-225-01427-GER2110524	M12732.1:108-558
26	21	5	21	33	26.028571	4.448964	35	FR	1	1	5	7	11	11	11	13	13	15	15	NA	18-225-01427-GER2110524	M12732.1:5593-7093
25	25	0	21	25	24.25	1.488048	8	FR	1	1	1	1	1	1	1	5	9	9	9	NA	18-225-01427-GER2110524	M12732.1:572-866
24	24	1	19	35	23.854991	2.58071	532	FR	1	1	1	3	3	3	7	9	11	11	13	NA	18-225-01427-GER2110524	NC001357.1:104-581
21	21	0.5	20	37	21.076923	0.493548	20	FR	1	1	1	1	1	3	25	25	33	33	33	NA	18-225-01427-GER2110524	NC001357.1:5429-7136
25	25	1	19	38	25.402761	1.668422	1669	FR	1	1	1	1	3	3	3	3	5	9	15	NA	18-225-01427-GER2110524	NC001357.1:589-907
25	25	0	20	35	24.732759	0.700937	1297	FR	1	1	1	1	1	1	3	3	5	13	13	NA	18-225-01427-GER2110524	NC001357.1:913-2887
55	34	19.5	30	130	62.538462	34.23125	26	FR	3	13	35	37	37	43	51	69	133	141	151	NA	18-225-01427-GER2110524	NC001526.4:1-1950
20	19	1	19	188	20.802326	2.67026	227	FR	1	3	3	3	3	5	15	99	187	243	317	NA	18-225-01427-GER2110524	NC001526.4:1891-2989
25	25	0	20	156	24.651786	1.128739	188	FR	1	1	1	1	1	3	5	9	89	149	243	NA	18-225-01427-GER2110524	NC001526.4:2985-3237
58	37	21	31	255	79.607306	42.584844	219	FR	9	19	27	37	43	57	105	127	153	177	299	NA	18-225-01427-GER2110524	NC001526.4:4774-6292
26	25	1	21	217	26.034161	2.274485	422	FR	1	3	3	3	3	5	9	65	141	187	287	NA	18-225-01427-GER2110524	NC001526.4:7124-7601
37	33	13	23	209	56.406593	33.966014	189	FR	7	9	9	15	27	35	75	121	165	219	345	NA	18-225-01427-GER2110524	NC001526.4:7603-7900
26	26	0	24	28	25.666667	0.685994	24	FR	1	1	1	1	1	3	3	3	5	5	5	NA	18-225-01427-GER2110524	X74477.1:109-559
25	23	2	22	49	27.888889	8.115486	10	FR	5	5	5	5	5	5	7	27	41	49	49	NA	18-225-01427-GER2110524	X74477.1:5600-7109
24	24	0	24	31	24	0	6	FR	1	1	1	1	1	1	3	3	15	15	15	NA	18-225-01427-GER2110524	X74477.1:561-861
28	28	0	23	29	26.647059	1.966633	20	FR	1	1	1	1	1	3	3	7	9	11	11	NA	18-225-02115-GER2106784	J04353.1:107-557
24	24	0	23	34	23.857143	0.377964	8	FR	1	1	1	1	1	1	1	3	21	21	21	NA	18-225-02115-GER2106784	J04353.1:5551-7066
26	27	1	22	27	25.615385	1.757767	13	FR	1	1	1	3	3	3	3	3	9	9	9	NA	18-225-02115-GER2106784	J04353.1:559-856
32	32	0	26	40	31.125	2.10017	10	FR	1	1	1	1	1	1	3	3	13	17	17	NA	18-225-02115-GER2106784	M12732.1:108-558
26	21	4	21	35	26.8	5.002856	15	FR	1	1	3	3	9	11	11	13	19	19	19	NA	18-225-02115-GER2106784	M12732.1:5593-7093
25	25	0	25	25	25	0	5	FR	1	1	1	1	1	1	1	1	1	1	1	NA	18-225-02115-GER2106784	M12732.1:572-866
24	24	1	20	34	23.905738	2.699514	244	FR	1	1	3	3	3	3	7	9	11	11	13	NA	18-225-02115-GER2106784	NC001357.1:104-581
21	21	0	21	36	21	0	8	FR	1	1	1	1	1	1	25	25	31	31	31	NA	18-225-02115-GER2106784	NC001357.1:5429-7136
26	26	1	19	34	25.40395	1.765024	557	FR	1	1	1	1	3	3	3	3	7	11	15	NA	18-225-02115-GER2106784	NC001357.1:589-907
25	25	0	20	33	24.715405	0.7126	460	FR	1	1	1	1	1	1	3	3	5	11	13	NA	18-225-02115-GER2106784	NC001357.1:913-2887
44.5	34	10.5	34	55	44.5	14.849242	2	FR	21	21	21	21	21	23	23	23	23	23	23	NA	18-225-02115-GER2106784	NC001526.4:1-1950
21	19	2	19	81	22.3625	3.762721	83	FR	1	3	3	5	5	5	11	13	15	19	121	NA	18-225-02115-GER2106784	NC001526.4:1891-2989
26	25	1	24	61	26.075	1.899899	43	FR	1	3	3	3	3	3	3	3	11	23	71	NA	18-225-02115-GER2106784	NC001526.4:2985-3237
48	37	7	28	68	45.139535	8.559543	43	FR	3	3	5	11	15	23	23	23	27	27	41	NA	18-225-02115-GER2106784	NC001526.4:4774-6292
25	25	0	21	119	24.92	0.513599	139	FR	1	1	1	1	1	3	3	7	9	9	141	NA	18-225-02115-GER2106784	NC001526.4:7124-7601
32	33	5	21	103	29.9125	7.331558	81	FR	3	3	5	7	11	15	17	19	19	19	143	NA	18-225-02115-GER2106784	NC001526.4:7603-7900
26	26	0	19	27	25	2.645751	9	FR	1	1	1	1	1	1	3	3	15	15	15	NA	18-225-02115-GER2106784	X74477.1:109-559
22	22	0	22	22	22	0	2	FR	1	1	1	1	1	1	1	1	1	1	1	NA	18-225-02115-GER2106784	X74477.1:5600-7109
24	24	0	24	26	24	0	4	FR	1	1	1	1	1	1	1	5	5	5	5	NA	18-225-02115-GER2106784	X74477.1:561-861
27	28	2	22	30	26.315789	2.667763	19	FR	3	3	5	5	5	7	7	9	9	11	11	NA	18-225-03093-GER2110523	J04353.1:107-557
33	19	4	19	37	29.285714	7.087884	7	FR	1	3	5	5	9	19	19	21	29	29	29	NA	18-225-03093-GER2110523	J04353.1:5551-7066
25	25	0	25	26	25	0	7	FR	1	1	1	1	1	1	1	1	3	3	3	NA	18-225-03093-GER2110523	J04353.1:559-856
32	32	0	31	35	31.8	0.447214	6	FR	1	1	1	1	1	1	3	3	7	7	7	NA	18-225-03093-GER2110523	M12732.1:108-558
26	26	2	21	35	25.8	3.914884	20	FR	1	1	3	3	5	5	9	11	13	15	19	NA	18-225-03093-GER2110523	M12732.1:5593-7093
25	25	0	25	30	25	0	3	FR	1	1	1	1	1	1	11	11	11	11	11	NA	18-225-03093-GER2110523	M12732.1:572-866
24	23	1	20	32	23.982456	2.823696	228	FR	1	1	3	3	3	5	9	9	11	11	15	NA	18-225-03093-GER2110523	NC001357.1:104-581
22	21	1	21	37	21.4	0.547723	9	FR	1	1	3	3	3	23	25	31	31	31	31	NA	18-225-03093-GER2110523	NC001357.1:5429-7136
26	26	1	19	38	25.596319	1.540681	817	FR	1	1	1	1	3	3	3	3	5	7	17	NA	18-225-03093-GER2110523	NC001357.1:589-907
25	25	0	20	35	24.756592	0.675938	631	FR	1	1	1	1	1	1	3	3	5	11	13	NA	18-225-03093-GER2110523	NC001357.1:913-2887
87	54	35	35	323	103.418994	56.396033	537	FR	15	33	45	67	71	83	87	131	201	265	371	NA	18-225-03093-GER2110523	NC001526.4:1-1950
97	95	35	19	577	108.72962	63.836517	739	FR	7	21	37	55	71	87	109	143	177	281	621	NA	18-225-03093-GER2110523	NC001526.4:1891-2989
91	66	33	21	459	97.57971	53.095035	622	FR	11	23	41	53	67	79	101	129	163	199	363	NA	18-225-03093-GER2110523	NC001526.4:2985-3237
104	109	33	30	398	108.285441	59.240891	1044	FR	11	19	27	45	67	85	101	119	145	261	437	NA	18-225-03093-GER2110523	NC001526.4:4774-6292
90	54	30	22	702	102.345288	59.008734	4061	FR	11	23	35	47	61	75	93	111	171	285	511	NA	18-225-03093-GER2110523	NC001526.4:7124-7601
93	78	33	22	592	101.7721	53.774754	3411	FR	13	27	39	53	67	81	99	115	143	241	401	NA	18-225-03093-GER2110523	NC001526.4:7603-7900
26	26	1	21	27	25.090909	1.972539	11	FR	1	1	1	1	3	3	3	5	9	11	11	NA	18-225-03093-GER2110523	X74477.1:109-559
51	51	4	22	61	47.947368	10.679543	19	FR	1	1	5	5	9	11	13	21	57	59	59	NA	18-225-03093-GER2110523	X74477.1:5600-7109
28	24	3.5	24	42	30.5	8.266398	4	FR	7	7	7	7	7	9	9	29	29	29	29	NA	18-225-03093-GER2110523	X74477.1:561-861
28	24	1	24	29	26.714286	2.288689	7	FR	1	1	3	3	3	7	7	9	9	9	9	NA	18-225-03267-GER2106785	J04353.1:107-557
35	33	2	33	37	35	2	3	FR	1	1	1	5	5	5	5	5	5	5	5	NA	18-225-03267-GER2106785	J04353.1:5551-7066
25	25	0	25	29	25	0	11	FR	1	1	1	1	1	3	3	7	7	9	9	NA	18-225-03267-GER2106785	J04353.1:559-856
32	32	0	31	32	31.666667	0.516398	6	FR	1	1	1	1	1	1	3	3	3	3	3	NA	18-225-03267-GER2106785	M12732.1:108-558
33	33	0	33	33	33	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	18-225-03267-GER2106785	M12732.1:5593-7093
25	25	0	25	26	25	0	4	FR	1	1	1	1	1	1	1	3	3	3	3	NA	18-225-03267-GER2106785	M12732.1:572-866
24	23	1	23	30	24.777778	2.728451	9	FR	1	1	1	3	3	3	3	11	13	13	13	NA	18-225-03267-GER2106785	NC001357.1:104-581
21	21	0	21	29	21	0	5	FR	1	1	1	1	1	1	3	3	17	17	17	NA	18-225-03267-GER2106785	NC001357.1:5429-7136
25	25	0	19	28	24.757426	0.969982	207	FR	1	1	1	1	1	1	1	1	3	7	13	NA	18-225-03267-GER2106785	NC001357.1:589-907
25	25	0	20	26	24.83871	0.898027	46	FR	1	1	1	1	1	1	3	3	3	3	11	NA	18-225-03267-GER2106785	NC001357.1:913-2887
35	34	1	34	97	34.333333	0.57735	5	FR	1	1	3	3	3	3	25	25	125	125	125	NA	18-225-03267-GER2106785	NC001526.4:1-1950
27	20	7	20	106	30.5	16.257306	8	FR	1	1	3	15	15	15	73	145	159	159	159	NA	18-225-03267-GER2106785	NC001526.4:1891-2989
26	25	1	25	106	25.837209	0.924024	47	FR	1	3	3	3	3	3	3	3	5	67	161	NA	18-225-03267-GER2106785	NC001526.4:2985-3237
37	37	0	37	52	37	0	11	FR	1	1	1	1	1	5	5	11	13	31	31	NA	18-225-03267-GER2106785	NC001526.4:4774-6292
25	25	0	21	85	24.928571	0.534522	90	FR	1	1	1	1	1	1	3	3	7	17	121	NA	18-225-03267-GER2106785	NC001526.4:7124-7601
33	33	0.5	24	98	32.666667	2.886751	26	FR	1	1	1	1	1	3	9	17	77	105	131	NA	18-225-03267-GER2106785	NC001526.4:7603-7900
25	25	0	25	25	25	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	18-225-03267-GER2106785	X74477.1:109-559
24	24	0	24	26	24	0	4	FR	1	1	1	1	1	1	1	5	5	5	5	NA	18-225-03267-GER2106785	X74477.1:561-861
28	28	2	24	30	27.153846	2.230327	13	FR	1	1	1	3	5	5	7	7	9	9	9	NA	18-226-02647-GER2110514	J04353.1:107-557
33	33	3	23	47	31.888889	7.557189	9	FR	1	1	1	3	7	19	19	21	29	29	29	NA	18-226-02647-GER2110514	J04353.1:5551-7066
25	25	0	21	30	24.142857	1.561909	17	FR	1	1	1	1	1	3	5	7	9	11	11	NA	18-226-02647-GER2110514	J04353.1:559-856
31.5	31	0.5	31	32	31.5	0.547723	6	FR	1	1	1	1	1	3	3	3	3	3	3	NA	18-226-02647-GER2110514	M12732.1:108-558
24	21	3	21	39	25.705882	4.831727	17	FR	1	1	5	5	7	7	7	7	17	31	31	NA	18-226-02647-GER2110514	M12732.1:5593-7093
25	19	4	19	29	24.333333	5.033223	3	FR	1	1	1	9	9	9	13	13	13	13	13	NA	18-226-02647-GER2110514	M12732.1:572-866
23	23	1	20	32	23.668605	2.379383	172	FR	1	1	1	3	3	3	5	7	9	13	17	NA	18-226-02647-GER2110514	NC001357.1:104-581
21	21	0	21	41	21	0	19	FR	1	1	1	1	1	1	3	27	35	41	41	NA	18-226-02647-GER2110514	NC001357.1:5429-7136
25	25	1	19	34	25.315673	1.813091	453	FR	1	1	1	1	3	3	3	3	7	9	13	NA	18-226-02647-GER2110514	NC001357.1:589-907
25	25	0	21	35	24.621891	0.815265	501	FR	1	1	1	1	1	1	3	3	7	13	13	NA	18-226-02647-GER2110514	NC001357.1:913-2887
56	53	13	28	225	67.454148	27.709075	232	FR	5	7	13	23	27	33	45	63	119	149	339	NA	18-226-02647-GER2110514	NC001526.4:1-1950
86	19	27	19	223	87.006205	39.697275	967	FR	11	21	33	45	55	73	89	105	133	135	169	NA	18-226-02647-GER2110514	NC001526.4:1891-2989
72	25	25	21	225	74.909836	33.83899	610	FR	9	19	31	45	51	63	75	93	99	115	167	NA	18-226-02647-GER2110514	NC001526.4:2985-3237
81	37	28	27	230	81.396739	31.751212	920	FR	17	27	37	49	57	63	73	83	89	93	145	NA	18-226-02647-GER2110514	NC001526.4:4774-6292
77	25	25.5	20	246	77.906897	35.962578	1740	FR	9	21	31	39	51	65	77	97	105	123	195	NA	18-226-02647-GER2110514	NC001526.4:7124-7601
78	36	26	23	244	81.135976	36.011969	1640	FR	11	19	31	43	53	69	79	89	111	139	167	NA	18-226-02647-GER2110514	NC001526.4:7603-7900
26	26	0	19	26	23.857143	3.078342	7	FR	1	1	1	1	1	5	5	13	15	15	15	NA	18-226-02647-GER2110514	X74477.1:109-559
47	55	8	27	59	46.636364	8.268231	33	FR	9	11	13	13	17	17	19	19	21	25	41	NA	18-226-02647-GER2110514	X74477.1:5600-7109
31	31	5	24	44	31.25	6.584614	8	FR	1	1	1	11	11	11	13	15	27	27	27	NA	18-226-02647-GER2110514	X74477.1:561-861
28	28	0	28	29	28	0	10	FR	1	1	1	1	1	1	1	3	3	3	3	NA	18-227-01230-GER2106872	J04353.1:107-557
28	23	5	23	35	28.5	6.403124	4	FR	11	11	11	11	11	11	11	15	15	15	15	NA	18-227-01230-GER2106872	J04353.1:5551-7066
25	25	0	22	30	24.5	1.091928	17	FR	1	1	1	1	1	1	3	3	7	11	11	NA	18-227-01230-GER2106872	J04353.1:559-856
36	36	1	31	37	34.4	2.701851	5	FR	1	1	1	1	3	3	9	9	11	11	11	NA	18-227-01230-GER2106872	M12732.1:108-558
24.5	24	1.5	21	32	24.9375	2.743933	16	FR	1	1	3	5	5	5	7	7	7	17	17	NA	18-227-01230-GER2106872	M12732.1:5593-7093
24	24	1	19	39	24.061093	3.0405	312	FR	1	1	3	3	3	7	9	9	11	11	13	NA	18-227-01230-GER2106872	NC001357.1:104-581
21	21	0	21	37	21	0	15	FR	1	1	1	1	1	1	27	31	33	33	33	NA	18-227-01230-GER2106872	NC001357.1:5429-7136
25	25	0	19	37	24.702087	1.143861	892	FR	1	1	1	1	1	3	3	3	5	9	17	NA	18-227-01230-GER2106872	NC001357.1:589-907
25	25	0	21	34	24.802521	0.586581	619	FR	1	1	1	1	1	1	3	3	5	13	13	NA	18-227-01230-GER2106872	NC001357.1:913-2887
85	85	0	85	85	85	0	2	FR	1	1	1	1	1	1	1	1	1	1	1	NA	18-227-01230-GER2106872	NC001526.4:1-1950
20	19	1	19	28	21.046512	2.911009	43	FR	1	1	3	3	3	3	3	13	13	15	17	NA	18-227-01230-GER2106872	NC001526.4:1891-2989
26	25	1	21	36	26	2.215647	34	FR	1	3	3	3	3	3	3	3	5	11	21	NA	18-227-01230-GER2106872	NC001526.4:2985-3237
45	37	8	26	109	46.789474	17.431067	19	FR	1	9	11	15	17	17	17	27	39	129	129	NA	18-227-01230-GER2106872	NC001526.4:4774-6292
26	25	1	21	147	26.147826	1.650324	128	FR	1	1	3	3	3	5	5	7	27	125	187	NA	18-227-01230-GER2106872	NC001526.4:7124-7601
33	33	1	23	248	32.111111	3.357148	62	FR	1	1	1	1	3	7	7	19	63	129	431	NA	18-227-01230-GER2106872	NC001526.4:7603-7900
26	26	0	26	27	26	0	6	FR	1	1	1	1	1	1	1	1	3	3	3	NA	18-227-01230-GER2106872	X74477.1:109-559
30	22	8	22	38	30	11.313708	2	FR	17	17	17	17	17	17	17	17	17	17	17	NA	18-227-01230-GER2106872	X74477.1:5600-7109
28	28	1	23	30	27.1875	2.257395	16	FR	1	1	1	3	3	3	5	7	11	11	11	NA	18-227-03043-GER2106871	J04353.1:107-557
29.5	24	5.5	24	35	29.5	7.778175	2	FR	11	11	11	11	11	13	13	13	13	13	13	NA	18-227-03043-GER2106871	J04353.1:5551-7066
25	25	0.5	22	30	25.666667	1.922751	12	FR	1	1	1	1	1	3	3	7	7	11	11	NA	18-227-03043-GER2106871	J04353.1:559-856
32	32	1	27	36	32.3	2.406011	10	FR	1	1	1	1	3	3	3	7	9	11	11	NA	18-227-03043-GER2106871	M12732.1:108-558
24	24	2	21	27	24.8	2.097618	10	FR	1	1	1	1	3	7	7	7	7	7	7	NA	18-227-03043-GER2106871	M12732.1:5593-7093
24	21	3	21	27	24	4.242641	2	FR	7	7	7	7	7	7	7	7	7	7	7	NA	18-227-03043-GER2106871	M12732.1:572-866
24	24	1	19	35	24.233083	2.85865	267	FR	1	1	1	3	3	3	7	9	11	13	17	NA	18-227-03043-GER2106871	NC001357.1:104-581
21	21	0	21	37	21	0	13	FR	1	1	1	1	1	1	27	33	33	33	33	NA	18-227-03043-GER2106871	NC001357.1:5429-7136
25	25	0	19	35	24.581921	1.350881	887	FR	1	1	1	1	1	3	3	3	7	9	13	NA	18-227-03043-GER2106871	NC001357.1:589-907
25	25	0	21	35	24.780347	0.616629	632	FR	1	1	1	1	1	1	1	3	5	13	13	NA	18-227-03043-GER2106871	NC001357.1:913-2887
142	28	21.5	28	175	121.75	64.92239	4	FR	21	21	21	21	21	67	67	229	229	229	229	NA	18-227-03043-GER2106871	NC001526.4:1-1950
21	19	2	19	182	21.259259	2.664832	66	FR	3	3	3	5	5	5	11	13	169	223	323	NA	18-227-03043-GER2106871	NC001526.4:1891-2989
26	25	1	25	182	25.918919	1.139649	49	FR	1	3	3	3	3	3	3	67	203	215	313	NA	18-227-03043-GER2106871	NC001526.4:2985-3237
41	37	4.5	32	125	42.136364	7.56115	26	FR	9	9	9	9	9	17	21	23	153	155	169	NA	18-227-03043-GER2106871	NC001526.4:4774-6292
26	25	1	22	177	25.994652	1.460952	206	FR	1	1	3	3	3	3	3	5	9	101	223	NA	18-227-03043-GER2106871	NC001526.4:7124-7601
33	33	3	20	239	33.162791	6.14886	104	FR	1	1	1	3	7	9	19	35	127	225	395	NA	18-227-03043-GER2106871	NC001526.4:7603-7900
26	26	0	22	28	25.4	1.349897	13	FR	1	1	1	1	1	1	3	5	5	9	9	NA	18-227-03043-GER2106871	X74477.1:109-559
22	22	0	22	22	22	0	2	FR	1	1	1	1	1	1	1	1	1	1	1	NA	18-227-03043-GER2106871	X74477.1:5600-7109
24.5	24	0.5	24	26	24.75	0.957427	4	FR	1	1	1	1	1	3	3	5	5	5	5	NA	18-227-03043-GER2106871	X74477.1:561-861
28	28	0	23	29	26.421053	2.168353	23	FR	1	1	1	1	1	3	7	9	11	11	11	NA	18-227-03352-GER2213134	J04353.1:107-557
24	24	0	23	35	23.666667	0.5	11	FR	1	1	1	1	1	3	3	3	19	23	23	NA	18-227-03352-GER2213134	J04353.1:5551-7066
25.5	25	0.5	21	29	25.5	1.834022	12	FR	1	1	1	1	3	3	3	5	9	9	9	NA	18-227-03352-GER2213134	J04353.1:559-856
32	31	1	31	33	31.857143	0.899735	7	FR	1	1	3	3	3	3	3	3	3	3	3	NA	18-227-03352-GER2213134	M12732.1:108-558
26	26	1	21	32	25.666667	2.780887	21	FR	1	1	1	3	3	5	5	11	11	11	13	NA	18-227-03352-GER2213134	M12732.1:5593-7093
25	25	0	21	25	23.4	2.19089	5	FR	1	1	1	1	1	1	9	9	9	9	9	NA	18-227-03352-GER2213134	M12732.1:572-866
24	23	1	19	36	23.992574	2.467143	405	FR	1	1	1	3	3	3	5	9	11	11	15	NA	18-227-03352-GER2213134	NC001357.1:104-581
21	21	0	21	40	21	0	24	FR	1	1	1	1	1	3	25	33	33	35	39	NA	18-227-03352-GER2213134	NC001357.1:5429-7136
26	25	1	19	35	25.580238	1.74378	1346	FR	1	1	1	1	3	3	3	3	5	9	17	NA	18-227-03352-GER2213134	NC001357.1:589-907
25	25	0	19	35	24.769657	0.672626	1097	FR	1	1	1	1	1	1	1	3	5	13	13	NA	18-227-03352-GER2213134	NC001357.1:913-2887
94	54	27	34	254	96.569364	37.787232	346	FR	7	23	33	45	55	73	87	101	117	139	187	NA	18-227-03352-GER2213134	NC001526.4:1-1950
95	19	33	19	406	94.750598	46.199872	1255	FR	9	23	39	53	67	77	97	113	149	153	291	NA	18-227-03352-GER2213134	NC001526.4:1891-2989
78	95	28	21	497	83.188591	40.123752	861	FR	11	25	35	45	57	71	81	91	109	151	289	NA	18-227-03352-GER2213134	NC001526.4:2985-3237
73	73	0	73	73	73	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	18-227-03352-GER2213134	NC001526.4:3372-4794
89	44	27	28	326	90.230561	40.831914	1479	FR	11	23	37	45	55	65	79	93	107	127	283	NA	18-227-03352-GER2213134	NC001526.4:4774-6292
83	25	29	23	398	88.649834	47.114484	2417	FR	11	21	35	45	59	73	85	109	119	169	353	NA	18-227-03352-GER2213134	NC001526.4:7124-7601
85	63	29	20	300	91.018341	41.79508	2399	FR	11	23	35	45	59	69	83	97	119	147	309	NA	18-227-03352-GER2213134	NC001526.4:7603-7900
26	26	0.5	21	29	26	1.587998	24	FR	1	1	1	1	1	3	3	5	7	7	11	NA	18-227-03352-GER2213134	X74477.1:109-559
50.5	27	5	27	56	45.722222	10.345818	18	FR	3	7	7	11	11	13	19	29	47	47	47	NA	18-227-03352-GER2213134	X74477.1:5600-7109
27.5	24	3.5	24	60	36.7	16.404945	10	FR	7	7	7	7	7	9	21	65	67	67	67	NA	18-227-03352-GER2213134	X74477.1:561-861
28	28	0.5	23	29	26.85	2.058998	20	FR	1	1	1	1	1	3	5	7	9	11	11	NA	18-228-02823-GER2106919	J04353.1:107-557
24	33	3	21	33	27.142857	5.550633	7	FR	1	3	3	3	7	19	19	19	19	19	19	NA	18-228-02823-GER2106919	J04353.1:5551-7066
25	25	0	25	27	25	0	15	FR	1	1	1	1	1	1	3	3	3	5	5	NA	18-228-02823-GER2106919	J04353.1:559-856
31	31	1	27	33	31	1.914854	7	FR	1	1	1	1	3	3	3	5	9	9	9	NA	18-228-02823-GER2106919	M12732.1:108-558
25.5	21	3	21	37	26.785714	4.933069	14	FR	1	3	5	5	5	9	9	15	17	25	25	NA	18-228-02823-GER2106919	M12732.1:5593-7093
25	25	0	25	26	25	0	4	FR	1	1	1	1	1	1	1	3	3	3	3	NA	18-228-02823-GER2106919	M12732.1:572-866
24	23	1	19	37	23.833333	2.711199	255	FR	1	1	3	3	3	5	9	9	11	11	23	NA	18-228-02823-GER2106919	NC001357.1:104-581
34	21	4	21	38	30	7.874008	10	FR	1	1	3	7	9	9	27	27	27	27	27	NA	18-228-02823-GER2106919	NC001357.1:5429-7136
25	25	1	19	34	25.460245	1.612768	654	FR	1	1	1	1	3	3	3	3	5	9	13	NA	18-228-02823-GER2106919	NC001357.1:589-907
25	25	0	20	34	24.726514	0.721999	583	FR	1	1	1	1	1	1	3	3	5	7	13	NA	18-228-02823-GER2106919	NC001357.1:913-2887
62	28	28	27	357	70	46.376387	15	FR	11	15	45	51	57	69	69	71	227	591	591	NA	18-228-02823-GER2106919	NC001526.4:1-1950
21	19	2	19	151	21.730769	4.279983	72	FR	1	3	5	5	5	11	35	127	169	185	261	NA	18-228-02823-GER2106919	NC001526.4:1891-2989
27	25	2	21	223	26.255814	2.610355	64	FR	1	1	3	5	5	7	67	117	201	219	393	NA	18-228-02823-GER2106919	NC001526.4:2985-3237
49	49	4	27	140	45.203704	9.631669	58	FR	1	1	3	7	9	23	25	29	45	113	183	NA	18-228-02823-GER2106919	NC001526.4:4774-6292
26	25	1	21	349	26.114754	1.971687	183	FR	1	3	3	3	3	7	57	137	211	281	585	NA	18-228-02823-GER2106919	NC001526.4:7124-7601
36	33	12	23	349	55.066667	35.238148	157	FR	5	7	7	9	25	37	67	119	185	241	529	NA	18-228-02823-GER2106919	NC001526.4:7603-7900
26	26	0	22	27	25.333333	1.556998	15	FR	1	1	1	1	1	1	3	3	9	9	9	NA	18-228-02823-GER2106919	X74477.1:109-559
117	49	1	49	118	94.666667	39.551654	3	FR	1	1	1	3	3	3	137	137	137	137	137	NA	18-228-02823-GER2106919	X74477.1:5600-7109
24.5	24	0.5	24	26	24.666667	0.816497	6	FR	1	1	1	1	1	3	3	3	5	5	5	NA	18-228-02823-GER2106919	X74477.1:561-861
28	28	1	23	36	27.296296	2.757016	27	FR	1	1	1	1	3	3	7	9	11	11	17	NA	18-229-01981-GER2110528	J04353.1:107-557
24	24	0	23	24	23.833333	0.408248	6	FR	1	1	1	1	1	1	1	1	3	3	3	NA	18-229-01981-GER2110528	J04353.1:5551-7066
25	25	0	22	27	24.4375	1.209339	20	FR	1	1	1	1	1	1	3	5	7	7	7	NA	18-229-01981-GER2110528	J04353.1:559-856
31.5	32	0.5	27	32	30.833333	1.94079	6	FR	1	1	1	3	3	3	3	3	9	9	9	NA	18-229-01981-GER2110528	M12732.1:108-558
26	26	2	21	36	25.730769	4.094462	26	FR	1	1	1	3	5	9	11	11	15	17	21	NA	18-229-01981-GER2110528	M12732.1:5593-7093
25	25	0	25	25	25	0	2	FR	1	1	1	1	1	1	1	1	1	1	1	NA	18-229-01981-GER2110528	M12732.1:572-866
24	24	1	19	34	24.313043	2.642423	460	FR	1	1	1	3	3	3	5	9	11	13	17	NA	18-229-01981-GER2110528	NC001357.1:104-581
34	21	5	21	39	29.818182	8.340482	11	FR	7	7	7	9	11	25	27	27	27	27	27	NA	18-229-01981-GER2110528	NC001357.1:5429-7136
25	25	1	19	36	25.521075	1.436624	1638	FR	1	1	1	1	3	3	3	3	5	9	13	NA	18-229-01981-GER2110528	NC001357.1:589-907
25	25	0	20	35	24.814771	0.603913	1067	FR	1	1	1	1	1	1	1	3	5	13	13	NA	18-229-01981-GER2110528	NC001357.1:913-2887
38	28	3	28	74	35	4.966555	5	FR	1	1	3	3	7	7	21	21	73	73	73	NA	18-229-01981-GER2110528	NC001526.4:1-1950
21	19	2	19	142	21.770833	3.345002	104	FR	1	3	3	3	5	5	7	11	15	159	237	NA	18-229-01981-GER2110528	NC001526.4:1891-2989
26	25	1	25	132	26.23913	2.222959	53	FR	1	3	3	3	3	3	3	5	23	153	213	NA	18-229-01981-GER2110528	NC001526.4:2985-3237
45	37	8	31	189	46.02	13.808442	51	FR	9	9	11	15	17	17	17	25	29	85	289	NA	18-229-01981-GER2110528	NC001526.4:4774-6292
27	25	2	21	254	26.725275	1.854163	204	FR	3	3	3	5	5	5	5	5	47	129	257	NA	18-229-01981-GER2110528	NC001526.4:7124-7601
